リアブレーキパッドが偏摩耗し、キャリパースライドアンカーピンのガタが大きくなった。	運転中に大量の警告灯が点灯して、エンジン不調、変速不良などの症状が出る。走行中に前方に何も異状がないのに関わらず、勝手にブレーキがかかったこともある。	走行中ギュンと言う音がして、パワーステアリングが効かなくなったため、ハンドルが極度に重くなり回らなくなった。
Adblueシステム故障により、メーターパネルに警告が表示された。NOxセンサーの交換をしたが、不具合が再発し、Adblueタンクとセンサー交換を求められている。	SCRキャタライザーの故障により、走行中にエンジン警告灯が点灯。アドブルーシステム故障のエラーメッセージが表示され、残走行距離800km走ると、エンジン始動不可の表示が出た。	始動時にエンジン部から異音がして、確認したところ、ジェネレーターチェーンがクラッチカバーに干渉して傷が付いていた。
公道の最高速が120km/hとなるのにクルーズコントロールが115km/hまでしか設定できない。	始動時にエンジン部から異音がして、確認したところ、ジェネレーターチェーンがクラッチカバーに干渉して傷が付いていた。	左ドアミラーが開閉しなくなり、走行時に開いた状態で維持できなくなった。
敷地内に停車中にロアアームが破断した。	敷地内に停車中にロアアームが破断した。	公道の最高速が120km/hとなるのにクルーズコントロールが115km/hまでしか設定できない。
左側ドアミラーがモーターの音はするものの、閉まらない。	左ドアミラーが開閉しなくなり、走行時に開いた状態で維持できなくなった。	ブレーキブースターの不良により、エンジン始動時にブレーキペダルが重くなる。
歩行者や自転車が現れた場合、ブレーキペダルが固くなり踏み込めない状態になったことがある。	ブレーキブースターの不良により、エンジン始動時にブレーキペダルが重くなる。	点火プラグの不具合により、突然エンジン警告灯が点灯し、大きな音と振動と同時に安定した走行が不可能になる。
発電機の故障により、交差点から発進時にエアバッグのランプが点灯し、その後にハンドルがロック状態になり、惰性で路肩に停車した。	点火プラグの不具合により、突然エンジン警告灯が点灯し、大きな音と振動と同時に安定した走行が不可能になる。	リアブレーキパッドが偏摩耗し、キャリパースライドアンカーピンのガタが大きくなった。
運転中に大量の警告灯が点灯して、エンジン不調、変速不良などの症状が出る。走行中に前方に何も異状がないのに関わらず、勝手にブレーキがかかったこともある。	歩行者や自転車が現れた場合、ブレーキペダルが固くなり踏み込めない状態になったことがある。	助手席側ドアミラーが格納されなくなった。
DPFが頻繁に詰まる。マフラー交換などの修理を受けるが、1年もすると再発する。	DPFが頻繁に詰まる。マフラー交換などの修理を受けるが、1年もすると再発する。	走行中ギュンと言う音がして、パワーステアリングが効かなくなったため、ハンドルが極度に重くなり回らなくなった。
左ドアミラーが開閉しなくなり、走行時に開いた状態で維持できなくなった。	助手席側ドアミラーが格納されなくなった。	DPFが頻繁に詰まる。マフラー交換などの修理を受けるが、1年もすると再発する。
走行中ギュンと言う音がして、パワーステアリングが効かなくなったため、ハンドルが極度に重くなり回らなくなった。	パワーステアリングの不良により、カーブでハンドルが切れなくなり、対向車線にはみ出した。ディーラーで油漏れと診断されたが、油を補充しただけだったようで、再発した。	始動時にエンジン部から異音がして、確認したところ、ジェネレーターチェーンがクラッチカバーに干渉して傷が付いていた。
ラジエーターキャップの不良により、冷却水がエンジン内で不足し、オーバーヒートした。	先日、信号で停車中、アイドリングストップが作動してエンジンが停止して、その後、信号が青になったので再出発しようとしたらエンジンがかからなかった。	一般道を一定速で走行中に突如ギアが5速から2速になり、警告灯が点灯するとともに駆動力を失い、惰性で路肩に流れ着いた。
